"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"000001.SZ","平安银行","2015-09-11","11.0200","10.9600","11.1200","10.8800","42,645,078.0000","129,372,438,185.8400","469,297,504.0000"
"000001.SZ","平安银行","2015-09-14","10.9900","10.8700","11.0000","10.4500","75,645,273.0000","128,310,073,273.7300","813,927,120.0000"
"000001.SZ","平安银行","2015-09-15","10.6900","10.5700","10.8500","10.5000","54,283,900.0000","124,768,856,900.0300","579,042,240.0000"
"000001.SZ","平安银行","2015-09-16","10.5900","10.9000","11.0800","10.5200","56,924,377.0000","128,664,194,911.1000","612,767,024.0000"
"000001.SZ","平安银行","2015-09-17","10.8500","10.7700","11.1400","10.7700","62,079,854.0000","127,129,667,815.8300","682,338,192.0000"
"000001.SZ","平安银行","2015-09-18","10.8400","10.8100","10.9600","10.7300","31,827,282.0000","127,601,829,998.9900","345,063,776.0000"
"000001.SZ","平安银行","2015-09-21","10.7000","10.8200","10.8900","10.6500","38,611,111.0000","127,719,870,544.7800","416,851,088.0000"
"000001.SZ","平安银行","2015-09-22","10.8300","10.9600","11.0600","10.8200","49,295,560.0000","129,372,438,185.8400","541,007,296.0000"
"000001.SZ","平安银行","2015-09-23","10.8600","10.7000","10.9100","10.6800","37,115,084.0000","126,303,383,995.3000","399,583,552.0000"
"000001.SZ","平安银行","2015-09-24","10.7600","10.7100","10.8100","10.6700","25,863,255.0000","126,421,424,541.0900","277,274,192.0000"
"000001.SZ","平安银行","2015-09-25","10.6900","10.5500","10.7100","10.4500","44,642,060.0000","124,532,775,808.4500","471,537,648.0000"
"000001.SZ","平安银行","2015-09-28","10.5600","10.5300","10.5900","10.4300","19,908,727.0000","124,296,694,716.8700","209,186,171.0000"
"000001.SZ","平安银行","2015-09-29","10.4500","10.3800","10.5600","10.3200","33,360,356.0000","122,526,086,530.0200","347,612,304.0000"
"000001.SZ","平安银行","2015-09-30","10.4000","10.4900","10.5900","10.3900","36,465,973.0000","123,824,532,533.7100","383,230,176.0000"
"000002.SZ","万科A","2015-09-11","13.5900","13.4700","13.6700","13.4000","31,345,274.0000","130,908,482,355.5100","424,400,224.0000"
"000002.SZ","万科A","2015-09-14","13.4700","13.1900","13.5400","13.1700","56,811,697.0000","128,187,546,992.2700","755,029,632.0000"
"000002.SZ","万科A","2015-09-15","13.1900","13.0200","13.2900","12.9000","47,673,875.0000","126,535,395,135.6600","623,857,248.0000"
"000002.SZ","万科A","2015-09-16","13.0900","13.4300","13.6500","12.9100","70,785,553.0000","130,520,023,532.1900","938,469,056.0000"
