"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"300209.SZ","天泽信息","2015-09-11","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-14","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-15","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-16","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-17","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-18","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-21","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-22","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-23","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-24","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-25","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-28","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-29","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300209.SZ","天泽信息","2015-09-30","23.4500","23.4500","23.4500","23.4500","0.0000","4,767,822,928.7500","0.0000"
"300210.SZ","森远股份","2015-09-11","12.7800","12.6000","12.8600","12.3200","1,603,501.0000","1,451,732,335.2000","20,236,095.0000"
"300210.SZ","森远股份","2015-09-14","12.8700","11.3400","12.9500","11.3400","2,077,469.0000","1,306,559,101.6800","24,894,204.0000"
"300210.SZ","森远股份","2015-09-15","10.7400","11.3200","11.7600","10.2100","2,788,397.0000","1,304,254,764.6400","30,441,826.0000"
"300210.SZ","森远股份","2015-09-16","11.2900","12.3500","12.4500","11.0800","2,806,191.0000","1,422,928,122.2000","33,059,763.0000"
"300210.SZ","森远股份","2015-09-17","12.3600","12.5000","12.7600","11.8200","2,366,344.0000","1,440,210,650.0000","29,135,067.0000"
"300210.SZ","森远股份","2015-09-18","12.5000","13.7500","13.7500","11.8000","6,439,449.0000","1,584,231,715.0000","85,375,918.0000"
"300210.SZ","森远股份","2015-09-21","13.7000","14.4100","14.6600","13.5000","4,940,345.0000","1,660,274,837.3200","69,922,007.0000"
"300210.SZ","森远股份","2015-09-22","14.2800","14.6100","15.2300","14.0500","4,755,045.0000","1,683,318,207.7200","69,080,381.0000"
"300210.SZ","森远股份","2015-09-23","14.3000","14.4100","15.2000","13.8800","3,914,424.0000","1,660,274,837.3200","57,837,142.0000"
"300210.SZ","森远股份","2015-09-24","14.4100","14.4000","14.8800","14.0800","2,471,856.0000","1,659,122,668.8000","35,531,899.0000"
"300210.SZ","森远股份","2015-09-25","14.3900","13.7100","14.7100","13.3000","2,141,555.0000","1,579,623,040.9200","30,144,382.0000"
"300210.SZ","森远股份","2015-09-28","13.5800","14.7100","14.8900","13.5800","2,320,941.0000","1,694,839,892.9200","33,520,299.0000"
"300210.SZ","森远股份","2015-09-29","14.4000","14.5300","14.5300","14.1000","1,388,699.0000","1,674,100,859.5600","19,870,166.0000"
"300210.SZ","森远股份","2015-09-30","14.6300","14.3000","15.0000","14.0300","1,883,600.0000","1,647,600,983.6000","26,990,164.0000"
"300211.SZ","亿通科技","2015-09-11","13.7000","13.7600","13.9700","13.2800","2,054,601.0000","1,255,681,569.2800","28,105,838.0000"
"300211.SZ","亿通科技","2015-09-14","13.8100","12.3800","13.9500","12.3800","3,601,252.0000","1,129,748,388.6400","45,967,647.0000"
"300211.SZ","亿通科技","2015-09-15","11.5100","11.1400","12.2800","11.1400","2,443,289.0000","1,016,591,037.9200","28,072,024.0000"
"300211.SZ","亿通科技","2015-09-16","11.2100","12.2500","12.2500","11.2100","3,316,561.0000","1,117,885,118.0000","38,690,908.0000"
"300211.SZ","亿通科技","2015-09-17","12.2300","12.1000","12.9900","12.0000","3,325,803.0000","1,104,196,728.8000","41,723,193.0000"
"300211.SZ","亿通科技","2015-09-18","12.2000","12.4100","12.6400","12.0000","2,577,870.0000","1,132,486,066.4800","31,583,573.0000"
"300211.SZ","亿通科技","2015-09-21","12.1200","13.2900","13.3100","12.1200","3,048,685.0000","1,212,791,283.1200","39,113,156.0000"
"300211.SZ","亿通科技","2015-09-22","13.3900","13.4400","13.7700","13.0700","3,367,945.0000","1,226,479,672.3200","45,131,916.0000"
"300211.SZ","亿通科技","2015-09-23","13.2300","13.5000","13.8800","12.9800","3,188,774.0000","1,231,955,028.0000","42,785,327.0000"
"300211.SZ","亿通科技","2015-09-24","13.5800","13.7000","13.9700","13.5000","2,460,787.0000","1,250,206,213.6000","33,810,513.0000"
"300211.SZ","亿通科技","2015-09-25","13.5300","12.8500","13.9500","12.5000","2,966,671.0000","1,172,638,674.8000","39,250,906.0000"
