"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"000750.SZ","国海证券","2015-09-11","9.9000","9.8400","10.0400","9.7400","23,259,060.0000","22,733,933,199.6000","230,246,802.0000"
"000750.SZ","国海证券","2015-09-14","9.8700","8.8600","9.9100","8.8600","56,058,031.0000","20,469,781,315.9000","513,412,352.0000"
"000750.SZ","国海证券","2015-09-15","8.7000","8.2100","8.9700","8.0500","42,478,483.0000","18,968,047,923.6500","362,884,064.0000"
"000750.SZ","国海证券","2015-09-16","8.3100","8.9500","9.0300","8.2000","41,055,423.0000","20,677,713,631.7500","352,386,512.0000"
"000750.SZ","国海证券","2015-09-17","8.9000","8.6700","9.0800","8.6400","40,443,415.0000","20,030,813,093.5500","359,226,416.0000"
"000750.SZ","国海证券","2015-09-18","8.7800","8.8500","8.9400","8.6700","20,612,287.0000","20,446,677,725.2500","181,265,643.0000"
"000750.SZ","国海证券","2015-09-21","8.7500","9.0400","9.0700","8.6400","26,898,690.0000","20,885,645,947.6000","238,884,523.0000"
"000750.SZ","国海证券","2015-09-22","9.0300","9.3300","9.7800","8.9600","54,752,623.0000","21,555,650,076.4500","516,414,112.0000"
"000750.SZ","国海证券","2015-09-23","9.1000","9.0100","9.2200","8.9500","29,542,416.0000","20,816,335,175.6500","268,674,416.0000"
"000750.SZ","国海证券","2015-09-24","9.0900","9.1900","9.2500","9.0600","21,668,944.0000","21,232,199,807.3500","198,133,724.0000"
"000750.SZ","国海证券","2015-09-25","9.1300","8.8700","9.2000","8.7600","25,861,516.0000","20,492,884,906.5500","231,755,884.0000"
"000750.SZ","国海证券","2015-09-28","8.8000","9.0200","9.0500","8.7000","13,517,693.0000","20,839,438,766.3000","120,508,965.0000"
"000750.SZ","国海证券","2015-09-29","8.9000","9.0500","9.2700","8.7800","24,484,264.0000","20,908,749,538.2500","220,644,162.0000"
"000750.SZ","国海证券","2015-09-30","9.0100","9.0500","9.3400","9.0000","24,259,497.0000","20,908,749,538.2500","222,223,622.0000"
"000751.SZ","锌业股份","2015-09-11","5.5600","5.6300","5.7000","5.5000","27,339,164.0000","7,937,406,586.5600","153,241,194.0000"
"000751.SZ","锌业股份","2015-09-14","5.7300","5.0800","5.7600","5.0700","50,572,921.0000","7,161,993,864.9600","270,016,256.0000"
"000751.SZ","锌业股份","2015-09-15","5.0000","4.6500","5.1500","4.5700","40,434,959.0000","6,555,762,100.8000","196,801,935.0000"
"000751.SZ","锌业股份","2015-09-16","4.6700","5.0700","5.1200","4.6300","42,359,542.0000","7,147,895,451.8400","206,256,265.0000"
"000751.SZ","锌业股份","2015-09-17","5.0600","4.9100","5.2400","4.9000","46,280,900.0000","6,922,320,841.9200","235,228,345.0000"
"000751.SZ","锌业股份","2015-09-18","4.9600","4.9400","5.0200","4.8200","34,380,735.0000","6,964,616,081.2800","169,081,901.0000"
"000751.SZ","锌业股份","2015-09-21","4.8500","5.0900","5.1300","4.8100","35,345,008.0000","7,176,092,278.0800","176,615,070.0000"
"000751.SZ","锌业股份","2015-09-22","5.1000","5.1900","5.3900","5.0300","53,631,750.0000","7,317,076,409.2800","278,627,712.0000"
"000751.SZ","锌业股份","2015-09-23","5.0400","4.9900","5.1100","4.9600","39,450,407.0000","7,035,108,146.8800","198,280,394.0000"
"000751.SZ","锌业股份","2015-09-24","5.0400","5.0400","5.1000","4.9400","34,294,403.0000","7,105,600,212.4800","172,332,944.0000"
"000751.SZ","锌业股份","2015-09-25","5.0200","4.8200","5.0700","4.7500","36,978,845.0000","6,795,435,123.8400","181,635,031.0000"
"000751.SZ","锌业股份","2015-09-28","4.8200","4.9200","4.9700","4.7300","26,668,551.0000","6,936,419,255.0400","129,418,386.0000"
"000751.SZ","锌业股份","2015-09-29","4.8200","4.7400","4.8400","4.7100","21,476,124.0000","6,682,647,818.8800","102,546,447.0000"
"000751.SZ","锌业股份","2015-09-30","4.7900","4.7500","4.8500","4.7500","18,384,633.0000","6,696,746,232.0000","88,208,872.0000"
"000752.SZ","西藏发展","2015-09-11","12.8000","13.2600","13.5500","12.8000","28,151,819.0000","3,497,337,928.5000","369,259,088.0000"
"000752.SZ","西藏发展","2015-09-14","13.2300","11.9300","13.7500","11.9300","30,648,517.0000","3,146,549,131.7500","396,896,288.0000"
"000752.SZ","西藏发展","2015-09-15","11.0600","10.7400","11.5200","10.7400","21,812,992.0000","2,832,685,471.5000","239,992,998.0000"
"000752.SZ","西藏发展","2015-09-16","10.7700","11.7800","11.8100","10.5100","22,369,935.0000","3,106,986,485.5000","249,817,107.0000"
"000752.SZ","西藏发展","2015-09-17","11.6000","11.5500","12.7500","11.4300","31,941,970.0000","3,046,323,761.2500","385,805,712.0000"
"000752.SZ","西藏发展","2015-09-18","11.6200","11.6500","11.9500","11.2000","17,606,030.0000","3,072,698,858.7500","203,508,048.0000"
"000752.SZ","西藏发展","2015-09-21","11.3000","11.9400","12.0400","11.2000","18,093,783.0000","3,149,186,641.5000","212,381,994.0000"
"000752.SZ","西藏发展","2015-09-22","12.0000","11.9300","12.1900","11.8100","21,161,990.0000","3,146,549,131.7500","254,278,249.0000"
"000752.SZ","西藏发展","2015-09-23","11.6100","11.4700","11.9300","11.3500","17,508,211.0000","3,025,223,683.2500","203,139,419.0000"
"000752.SZ","西藏发展","2015-09-24","11.4900","11.5700","11.6800","11.4100","12,764,916.0000","3,051,598,780.7500","147,327,194.0000"
"000752.SZ","西藏发展","2015-09-25","11.5000","11.0000","11.6600","10.8900","14,996,265.0000","2,901,260,725.0000","168,714,850.0000"
"000752.SZ","西藏发展","2015-09-28","11.1000","11.2100","11.2500","10.7400","9,619,863.0000","2,956,648,429.7500","106,533,820.0000"
"000752.SZ","西藏发展","2015-09-29","11.0100","11.9600","12.3300","10.8500","33,169,566.0000","3,154,461,661.0000","391,148,432.0000"
"000752.SZ","西藏发展","2015-09-30","12.0000","11.8400","12.3200","11.7500","27,889,870.0000","3,122,811,544.0000","335,578,272.0000"
"000753.SZ","漳州发展","2015-09-11","6.4300","6.4300","6.4300","6.4300","0.0000","4,494,755,087.5500","0.0000"
"000753.SZ","漳州发展","2015-09-14","6.4300","6.4300","6.4300","6.4300","0.0000","4,494,755,087.5500","0.0000"
"000753.SZ","漳州发展","2015-09-15","5.7900","5.7900","5.7900","5.7900","6,326,700.0000","4,047,376,665.1500","36,631,593.0000"
"000753.SZ","漳州发展","2015-09-16","5.2100","6.1800","6.3600","5.2100","76,403,656.0000","4,319,997,891.3000","427,934,592.0000"
"000753.SZ","漳州发展","2015-09-17","5.9000","5.6000","6.1800","5.5900","56,630,823.0000","3,914,561,196.0000","331,334,160.0000"
"000753.SZ","漳州发展","2015-09-18","5.6400","5.2900","5.7400","5.2100","29,749,565.0000","3,697,862,272.6500","160,312,267.0000"
"000753.SZ","漳州发展","2015-09-21","5.2800","5.4000","5.4400","5.0800","24,121,064.0000","3,774,755,439.0000","128,557,113.0000"
"000753.SZ","漳州发展","2015-09-22","5.3800","5.4400","5.5400","5.3400","25,470,491.0000","3,802,716,590.4000","138,689,705.0000"
"000753.SZ","漳州发展","2015-09-23","5.3100","5.2300","5.3800","5.1800","19,431,471.0000","3,655,920,545.5500","102,622,813.0000"
"000753.SZ","漳州发展","2015-09-24","5.3500","5.3800","5.4600","5.3000","19,746,797.0000","3,760,774,863.3000","106,450,438.0000"
"000753.SZ","漳州发展","2015-09-25","5.3500","5.2200","5.4500","5.1700","17,372,945.0000","3,648,930,257.7000","92,090,205.0000"
"000753.SZ","漳州发展","2015-09-28","5.2200","5.2800","5.3500","5.1800","8,278,456.0000","3,690,871,984.8000","43,497,482.0000"
"000753.SZ","漳州发展","2015-09-29","5.2800","5.1500","5.2800","5.1500","10,047,940.0000","3,599,998,242.7500","52,250,731.0000"
"000753.SZ","漳州发展","2015-09-30","5.1500","5.1500","5.2300","5.1200","8,353,159.0000","3,599,998,242.7500","43,197,646.0000"
"000755.SZ","山西三维","2015-09-11","9.0400","8.8300","9.1800","8.6900","16,569,117.0000","4,143,529,976.6900","147,342,455.0000"
"000755.SZ","山西三维","2015-09-14","8.9000","8.5000","9.0100","7.9500","17,341,287.0000","3,988,675,515.5000","144,307,702.0000"
"000755.SZ","山西三维","2015-09-15","8.1700","7.6500","8.1700","7.6500","11,464,236.0000","3,589,807,963.9500","90,238,607.0000"
"000755.SZ","山西三维","2015-09-16","7.6000","8.2400","8.4000","7.1900","21,219,638.0000","3,866,668,970.3200","165,079,300.0000"
"000755.SZ","山西三维","2015-09-17","8.1300","7.6400","8.2500","7.6000","19,134,091.0000","3,585,115,404.5200","152,020,424.0000"
"000755.SZ","山西三维","2015-09-18","7.6900","7.4000","7.7800","7.2300","14,753,656.0000","3,472,493,978.2000","109,379,970.0000"
"000755.SZ","山西三维","2015-09-21","7.1500","7.6500","7.7500","7.0000","16,023,854.0000","3,589,807,963.9500","117,966,152.0000"
"000755.SZ","山西三维","2015-09-22","7.6600","7.9200","8.1500","7.5100","18,566,932.0000","3,716,507,068.5600","145,372,252.0000"
"000755.SZ","山西三维","2015-09-23","7.6800","7.4900","7.7700","7.4000","13,265,287.0000","3,514,727,013.0700","101,112,611.0000"
"000755.SZ","山西三维","2015-09-24","7.5000","7.7100","7.7200","7.3500","13,433,679.0000","3,617,963,320.5300","101,525,761.0000"
"000755.SZ","山西三维","2015-09-25","7.6100","8.0200","8.1500","7.6000","27,121,742.0000","3,763,432,662.8600","216,294,410.0000"
"000755.SZ","山西三维","2015-09-28","8.0200","7.8800","8.0200","7.5000","14,034,005.0000","3,697,736,830.8400","109,112,074.0000"
"000755.SZ","山西三维","2015-09-29","7.6000","7.8700","8.2600","7.5800","16,529,064.0000","3,693,044,271.4100","132,442,657.0000"
"000755.SZ","山西三维","2015-09-30","7.8000","7.7100","7.9800","7.5000","10,168,741.0000","3,617,963,320.5300","78,596,477.0000"
"000756.SZ","新华制药","2015-09-11","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-14","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-15","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-16","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-17","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-18","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-21","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-22","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-23","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-24","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-25","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-28","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-29","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000756.SZ","新华制药","2015-09-30","12.1300","12.1300","12.1300","12.1300","0.0000","3,727,704,627.9000","0.0000"
"000757.SZ","浩物股份","2015-09-11","8.9100","9.0000","9.1500","8.8000","8,485,424.0000","2,815,224,147.0000","76,297,938.0000"
"000757.SZ","浩物股份","2015-09-14","9.1000","8.2200","9.1900","8.1000","17,679,922.0000","2,571,238,054.2600","149,917,702.0000"
"000757.SZ","浩物股份","2015-09-15","8.2500","8.4000","8.8100","7.9000","18,083,021.0000","2,627,542,537.2000","148,137,584.0000"
"000757.SZ","浩物股份","2015-09-16","8.3800","8.9200","9.1700","8.0000","31,395,244.0000","2,790,199,932.3600","268,759,792.0000"
"000757.SZ","浩物股份","2015-09-17","8.7000","8.1700","8.9700","8.1300","24,153,220.0000","2,555,597,920.1100","209,948,888.0000"
"000757.SZ","浩物股份","2015-09-18","8.2200","8.0500","8.3800","7.6800","16,330,725.0000","2,518,061,598.1500","130,150,161.0000"
"000757.SZ","浩物股份","2015-09-21","7.8800","8.2400","8.3000","7.7300","10,966,246.0000","2,577,494,107.9200","89,058,287.0000"
"000757.SZ","浩物股份","2015-09-22","8.2400","8.2300","8.3800","8.1700","9,669,185.0000","2,574,366,081.0900","80,050,016.0000"
"000757.SZ","浩物股份","2015-09-23","8.1100","8.2500","8.3900","8.0300","11,395,792.0000","2,580,622,134.7500","93,929,201.0000"
"000757.SZ","浩物股份","2015-09-24","8.3000","8.4200","8.4500","8.2500","10,031,714.0000","2,633,798,590.8600","83,797,624.0000"
"000757.SZ","浩物股份","2015-09-25","8.4300","8.8900","8.9900","8.0100","19,587,712.0000","2,780,815,851.8700","165,251,403.0000"
"000757.SZ","浩物股份","2015-09-28","8.7000","9.0100","9.1700","8.3300","22,065,778.0000","2,818,352,173.8300","192,344,053.0000"
"000757.SZ","浩物股份","2015-09-29","8.6800","8.6400","8.9600","8.5000","12,758,684.0000","2,702,615,181.1200","111,023,269.0000"
"000757.SZ","浩物股份","2015-09-30","8.7300","8.5500","8.8600","8.4900","7,956,468.0000","2,674,462,939.6500","68,504,596.0000"
"000758.SZ","中色股份","2015-09-11","14.7800","14.4500","14.9800","14.1600","32,910,115.0000","13,027,564,874.3500","479,260,560.0000"
"000758.SZ","中色股份","2015-09-14","14.8700","13.0100","15.1000","13.0100","49,339,939.0000","11,729,316,194.8300","696,607,040.0000"
"000758.SZ","中色股份","2015-09-15","12.3900","11.7100","12.8700","11.7100","36,316,734.0000","10,557,286,136.9300","443,428,608.0000"
"000758.SZ","中色股份","2015-09-16","11.7200","12.8600","12.8800","11.6300","39,024,198.0000","11,594,081,957.3800","477,204,736.0000"
"000758.SZ","中色股份","2015-09-17","12.7800","12.5100","13.4500","12.5000","42,090,041.0000","11,278,535,403.3300","547,567,280.0000"
"000758.SZ","中色股份","2015-09-18","12.7000","12.6400","12.8900","12.3800","22,002,360.0000","11,395,738,409.1200","278,159,408.0000"
"000758.SZ","中色股份","2015-09-21","12.4000","13.1600","13.1800","12.3000","25,246,274.0000","11,864,550,432.2800","325,400,896.0000"
"000758.SZ","中色股份","2015-09-22","13.1100","13.3600","13.6400","13.0700","33,638,033.0000","12,044,862,748.8800","448,430,064.0000"
"000758.SZ","中色股份","2015-09-23","12.9900","12.8000","13.1800","12.6500","27,947,249.0000","11,539,988,262.4000","360,964,640.0000"
"000758.SZ","中色股份","2015-09-24","12.9300","13.0800","13.1700","12.8000","19,026,934.0000","11,792,425,505.6400","247,357,646.0000"
"000758.SZ","中色股份","2015-09-25","13.0800","12.6300","13.3500","12.5100","24,220,408.0000","11,386,722,793.2900","313,465,200.0000"
"000758.SZ","中色股份","2015-09-28","12.6900","12.8200","12.8800","12.2100","13,604,749.0000","11,558,019,494.0600","171,842,942.0000"
"000758.SZ","中色股份","2015-09-29","12.5500","12.3900","12.6600","12.2700","16,140,723.0000","11,170,348,013.3700","201,353,796.0000"
"000758.SZ","中色股份","2015-09-30","12.4400","12.4900","12.6500","12.4000","11,227,232.0000","11,260,504,171.6700","140,772,202.0000"
"000759.SZ","中百集团","2015-09-11","6.9100","7.2900","7.3000","6.9000","11,818,862.0000","4,962,098,449.8900","83,900,566.0000"
"000759.SZ","中百集团","2015-09-14","7.3800","6.6400","7.4500","6.5600","12,827,964.0000","4,519,661,688.2400","88,274,763.0000"
"000759.SZ","中百集团","2015-09-15","6.3800","6.2100","6.6000","6.1200","5,967,241.0000","4,226,972,753.6100","38,003,531.0000"
"000759.SZ","中百集团","2015-09-16","6.2500","6.7500","6.8200","6.2500","6,895,075.0000","4,594,535,601.7500","44,946,667.0000"
"000759.SZ","中百集团","2015-09-17","6.7000","6.5200","6.8400","6.5000","8,702,473.0000","4,437,981,055.3200","58,157,350.0000"
"000759.SZ","中百集团","2015-09-18","6.5700","6.5700","6.6400","6.4000","5,281,684.0000","4,472,014,652.3700","34,569,954.0000"
"000759.SZ","中百集团","2015-09-21","6.5000","6.7900","6.8500","6.4700","5,179,289.0000","4,621,762,479.3900","34,698,164.0000"
"000759.SZ","中百集团","2015-09-22","6.7900","6.9000","6.9900","6.7600","7,274,358.0000","4,696,636,392.9000","50,023,665.0000"
"000759.SZ","中百集团","2015-09-23","6.8000","6.7000","6.8700","6.6200","5,112,999.0000","4,560,502,004.7000","34,498,079.0000"
"000759.SZ","中百集团","2015-09-24","6.7100","6.8200","6.8800","6.7100","3,445,700.0000","4,642,182,637.6200","23,384,747.0000"
"000759.SZ","中百集团","2015-09-25","6.8200","6.5800","6.8200","6.5500","4,063,720.0000","4,478,821,371.7800","27,126,875.0000"
"000759.SZ","中百集团","2015-09-28","6.5800","6.7000","6.7100","6.5100","2,364,067.0000","4,560,502,004.7000","15,691,921.0000"
"000759.SZ","中百集团","2015-09-29","6.6200","6.5200","6.6400","6.4900","3,041,970.0000","4,437,981,055.3200","19,951,532.0000"
"000759.SZ","中百集团","2015-09-30","6.5500","6.6500","6.6700","6.5400","2,760,814.0000","4,526,468,407.6500","18,249,884.0000"
"000760.SZ","斯太尔","2015-09-11","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-14","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-15","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-16","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-17","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-18","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-21","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-22","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-23","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-24","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-25","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-28","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-29","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000760.SZ","斯太尔","2015-09-30","7.5200","7.5200","7.5200","7.5200","0.0000","2,493,580,924.1600","0.0000"
"000761.SZ","本钢板材","2015-09-11","5.6700","5.4200","5.9700","5.3500","28,551,551.0000","14,828,813,601.9800","158,951,832.0000"
"000761.SZ","本钢板材","2015-09-14","5.4700","5.0700","5.5600","4.9600","17,862,256.0000","13,871,233,387.8300","93,598,770.0000"
"000761.SZ","本钢板材","2015-09-15","5.0000","4.7100","5.0000","4.6700","10,586,440.0000","12,886,293,738.9900","51,725,038.0000"
"000761.SZ","本钢板材","2015-09-16","4.6000","5.0000","5.1600","4.6000","11,270,579.0000","13,679,717,345.0000","55,180,448.0000"
"000761.SZ","本钢板材","2015-09-17","4.9400","4.9500","5.1500","4.8900","9,871,825.0000","13,542,920,171.5500","49,392,342.0000"
"000761.SZ","本钢板材","2015-09-18","5.1200","5.0200","5.1500","4.9500","5,836,634.0000","13,734,436,214.3800","29,406,585.0000"
"000761.SZ","本钢板材","2015-09-21","4.9900","5.0900","5.1000","4.9100","6,379,896.0000","13,925,952,257.2100","31,970,736.0000"
"000761.SZ","本钢板材","2015-09-22","5.0700","5.1100","5.1600","5.0400","7,317,296.0000","13,980,671,126.5900","37,416,044.0000"
"000761.SZ","本钢板材","2015-09-23","5.0300","4.9600","5.0500","4.9000","8,843,403.0000","13,570,279,606.2400","43,965,524.0000"
"000761.SZ","本钢板材","2015-09-24","4.9600","4.9600","5.0000","4.9100","5,458,800.0000","13,570,279,606.2400","27,061,702.0000"
"000761.SZ","本钢板材","2015-09-25","4.9700","4.9100","5.0600","4.8900","6,378,550.0000","13,433,482,432.7900","31,756,496.0000"
"000761.SZ","本钢板材","2015-09-28","4.8900","5.0000","5.0500","4.7700","9,291,966.0000","13,679,717,345.0000","45,626,411.0000"
"000761.SZ","本钢板材","2015-09-29","4.9200","4.9900","5.0300","4.9000","5,726,837.0000","13,652,357,910.3100","28,603,272.0000"
"000761.SZ","本钢板材","2015-09-30","5.0000","4.9900","5.0800","4.9800","3,666,751.0000","13,652,357,910.3100","18,400,909.0000"
"000762.SZ","西藏矿业","2015-09-11","11.7000","11.9100","12.0600","11.6000","15,983,856.0000","5,668,617,785.3400","189,592,053.0000"
"000762.SZ","西藏矿业","2015-09-14","12.0000","10.7200","12.3700","10.7200","25,084,000.0000","5,102,231,961.2800","288,884,912.0000"
"000762.SZ","西藏矿业","2015-09-15","10.1100","10.1300","10.5300","9.7900","20,690,804.0000","4,821,418,821.6200","210,367,220.0000"
"000762.SZ","西藏矿业","2015-09-16","10.2600","11.1400","11.1400","10.1400","20,867,862.0000","5,302,132,840.3600","221,135,379.0000"
"000762.SZ","西藏矿业","2015-09-17","11.4700","12.2500","12.2500","11.3000","33,513,921.0000","5,830,442,306.5000","405,836,336.0000"
"000762.SZ","西藏矿业","2015-09-18","12.3500","12.5700","12.8800","11.9000","52,490,151.0000","5,982,747,738.1800","656,734,384.0000"
"000762.SZ","西藏矿业","2015-09-21","12.1000","12.9400","13.1900","11.9000","40,498,928.0000","6,158,850,893.5600","507,524,192.0000"
"000762.SZ","西藏矿业","2015-09-22","12.7500","12.5600","12.9400","12.3800","35,033,992.0000","5,977,988,193.4400","442,326,768.0000"
"000762.SZ","西藏矿业","2015-09-23","12.3000","12.8900","13.6000","12.2000","45,656,726.0000","6,135,053,169.8600","595,008,768.0000"
"000762.SZ","西藏矿业","2015-09-24","13.0500","12.7100","13.1500","12.4600","26,166,752.0000","6,049,381,364.5400","333,198,816.0000"
"000762.SZ","西藏矿业","2015-09-25","12.5600","12.0200","12.8500","11.8000","24,407,820.0000","5,720,972,777.4800","298,698,032.0000"
"000762.SZ","西藏矿业","2015-09-28","12.1500","12.4000","12.4200","11.6100","16,527,761.0000","5,901,835,477.6000","201,211,081.0000"
"000762.SZ","西藏矿业","2015-09-29","12.0100","12.3300","12.8400","12.0100","23,432,873.0000","5,868,518,664.4200","291,243,488.0000"
"000762.SZ","西藏矿业","2015-09-30","12.6000","12.3000","12.7600","12.2200","15,174,311.0000","5,854,240,030.2000","188,638,449.0000"
"000766.SZ","通化金马","2015-09-11","7.2000","7.9500","7.9500","7.1600","43,452,736.0000","3,569,664,305.1000","342,777,232.0000"
"000766.SZ","通化金马","2015-09-14","8.0600","7.1600","8.2200","7.1600","41,394,835.0000","3,214,942,946.4800","316,578,016.0000"
"000766.SZ","通化金马","2015-09-15","6.7000","6.4400","6.9800","6.4400","27,414,329.0000","2,891,652,594.3200","180,893,102.0000"
"000766.SZ","通化金马","2015-09-16","6.5000","7.0400","7.0800","6.4400","22,567,466.0000","3,161,061,221.1200","152,637,837.0000"
"000766.SZ","通化金马","2015-09-17","6.9300","6.6100","7.1100","6.6100","23,098,899.0000","2,967,985,038.5800","158,979,362.0000"
"000766.SZ","通化金马","2015-09-18","6.7500","6.6800","6.8600","6.5500","10,575,517.0000","2,999,416,045.0400","70,622,514.0000"
"000766.SZ","通化金马","2015-09-21","6.6600","7.0000","7.0000","6.5000","12,394,312.0000","3,143,100,646.0000","83,968,819.0000"
"000766.SZ","通化金马","2015-09-22","7.0000","7.3200","7.7000","6.9000","27,620,189.0000","3,286,785,246.9600","205,445,907.0000"
"000766.SZ","通化金马","2015-09-23","7.1000","7.2500","7.3200","6.9500","16,920,842.0000","3,255,354,240.5000","121,019,028.0000"
"000766.SZ","通化金马","2015-09-24","7.2200","7.4500","7.7100","7.2200","17,209,952.0000","3,345,157,116.1000","129,295,134.0000"
"000766.SZ","通化金马","2015-09-25","7.3500","7.2700","7.7500","7.2000","15,272,643.0000","3,264,334,528.0600","114,190,890.0000"
"000766.SZ","通化金马","2015-09-28","7.3500","7.4800","7.5000","7.1300","10,801,182.0000","3,358,627,547.4400","79,523,048.0000"
"000766.SZ","通化金马","2015-09-29","7.2200","7.1100","7.4200","7.0400","10,885,249.0000","3,192,492,227.5800","78,483,201.0000"
"000766.SZ","通化金马","2015-09-30","7.1600","7.2900","7.4700","7.1000","10,344,436.0000","3,273,314,815.6200","75,405,012.0000"
"000767.SZ","漳泽电力","2015-09-11","5.8800","5.9200","6.0200","5.8000","29,146,620.0000","9,316,400,188.1600","172,333,559.0000"
"000767.SZ","漳泽电力","2015-09-14","6.0200","5.3500","6.1000","5.3300","48,465,561.0000","8,419,381,926.8000","278,430,896.0000"
"000767.SZ","漳泽电力","2015-09-15","5.2000","4.9200","5.3700","4.8600","35,518,048.0000","7,742,683,940.1600","181,570,535.0000"
"000767.SZ","漳泽电力","2015-09-16","4.9600","5.3900","5.4100","4.9500","38,832,232.0000","8,482,330,576.7200","200,635,234.0000"
"000767.SZ","漳泽电力","2015-09-17","5.3800","5.2400","5.6100","5.2400","50,303,222.0000","8,246,273,139.5200","274,909,632.0000"
"000767.SZ","漳泽电力","2015-09-18","5.3000","5.2800","5.4000","5.1200","30,548,454.0000","8,309,221,789.4400","160,289,254.0000"
"000767.SZ","漳泽电力","2015-09-21","5.2000","5.4500","5.4700","5.0800","29,093,752.0000","8,576,753,551.6000","156,413,100.0000"
"000767.SZ","漳泽电力","2015-09-22","5.4800","5.4900","5.5400","5.4000","36,654,701.0000","8,639,702,201.5200","200,581,219.0000"
"000767.SZ","漳泽电力","2015-09-23","5.3800","5.3600","5.4700","5.3000","25,710,013.0000","8,435,119,089.2800","138,239,175.0000"
"000767.SZ","漳泽电力","2015-09-24","5.4000","5.4800","5.6000","5.3300","33,292,550.0000","8,623,965,039.0400","181,742,370.0000"
"000767.SZ","漳泽电力","2015-09-25","5.4000","5.2300","5.4900","5.1800","29,345,920.0000","8,230,535,977.0400","155,951,000.0000"
"000767.SZ","漳泽电力","2015-09-28","5.2300","5.2900","5.2900","5.1700","12,338,786.0000","8,324,958,951.9200","64,812,074.0000"
"000767.SZ","漳泽电力","2015-09-29","5.1800","5.1200","5.2400","5.0900","16,001,034.0000","8,057,427,189.7600","82,357,666.0000"
"000767.SZ","漳泽电力","2015-09-30","5.1700","5.1600","5.2000","5.1100","10,138,312.0000","8,120,375,839.6800","52,335,192.0000"
"000768.SZ","中航飞机","2015-09-11","23.0000","22.3600","23.4400","21.7100","52,158,017.0000","55,399,174,347.4000","1,171,366,992.0000"
"000768.SZ","中航飞机","2015-09-14","22.9800","20.1200","23.3000","20.1200","49,513,443.0000","49,849,346,505.8000","1,053,166,512.0000"
"000768.SZ","中航飞机","2015-09-15","19.4700","18.1100","19.5500","18.1100","49,239,694.0000","44,869,367,058.6500","921,026,624.0000"
