"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"600311.SH","荣华实业","2015-09-11","5.5500","5.6200","5.6900","5.5100","13,479,911.0000","3,740,672,000.0000","75,469,642.0000"
"600311.SH","荣华实业","2015-09-14","5.6500","5.1000","5.7000","5.0600","26,703,002.0000","3,394,560,000.0000","143,206,639.0000"
"600311.SH","荣华实业","2015-09-15","5.0000","4.8200","5.1500","4.7400","18,379,471.0000","3,208,192,000.0000","90,636,758.0000"
"600311.SH","荣华实业","2015-09-16","4.9000","5.2800","5.3000","4.8300","18,726,664.0000","3,514,368,000.0000","94,769,744.0000"
"600311.SH","荣华实业","2015-09-17","5.3000","5.2500","5.5500","5.1600","23,984,545.0000","3,494,400,000.0000","128,461,518.0000"
"600311.SH","荣华实业","2015-09-18","5.3500","5.2900","5.4000","5.1300","16,059,217.0000","3,521,024,000.0000","84,584,264.0000"
"600311.SH","荣华实业","2015-09-21","5.2100","5.4500","5.4700","5.1900","17,443,718.0000","3,627,520,000.0000","93,311,418.0000"
"600311.SH","荣华实业","2015-09-22","5.4500","5.4900","5.5900","5.3700","20,469,548.0000","3,654,144,000.0000","112,084,050.0000"
"600311.SH","荣华实业","2015-09-23","5.3700","5.3300","5.4400","5.2700","15,623,471.0000","3,547,648,000.0000","83,427,794.0000"
"600311.SH","荣华实业","2015-09-24","5.3400","5.6000","5.6500","5.3400","22,690,633.0000","3,727,360,000.0000","124,527,466.0000"
"600311.SH","荣华实业","2015-09-25","5.6500","5.3900","5.7400","5.3300","21,903,206.0000","3,587,584,000.0000","121,029,458.0000"
"600311.SH","荣华实业","2015-09-28","5.3500","5.4400","5.4600","5.2300","11,000,722.0000","3,620,864,000.0000","58,922,278.0000"
"600311.SH","荣华实业","2015-09-29","5.3100","5.2300","5.3400","5.2100","10,111,803.0000","3,481,088,000.0000","53,299,125.0000"
"600311.SH","荣华实业","2015-09-30","5.2800","5.2700","5.3300","5.2300","7,228,979.0000","3,507,712,000.0000","38,174,536.0000"
"600312.SH","平高电气","2015-09-11","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-14","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-15","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-16","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-17","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-18","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-21","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-22","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-23","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-24","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-25","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-28","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-29","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600312.SH","平高电气","2015-09-30","22.0800","22.0800","22.0800","22.0800","0.0000","18,082,773,099.8400","0.0000"
"600313.SH","农发种业","2015-09-11","11.8900","12.0700","12.4200","11.7800","7,516,638.0000","3,671,694,000.0000","90,813,756.0000"
"600313.SH","农发种业","2015-09-14","12.2300","10.8700","12.7700","10.8600","12,227,335.0000","3,306,654,000.0000","144,241,467.0000"
"600313.SH","农发种业","2015-09-15","10.3800","10.2700","10.8700","9.8200","7,723,466.0000","3,124,134,000.0000","79,843,939.0000"
"600313.SH","农发种业","2015-09-16","10.4900","11.2500","11.3000","10.0700","11,527,380.0000","3,422,250,000.0000","122,239,369.0000"
"600313.SH","农发种业","2015-09-17","11.1400","10.7000","11.5000","10.6500","12,089,643.0000","3,254,940,000.0000","133,596,904.0000"
"600313.SH","农发种业","2015-09-18","10.7500","10.9200","11.0000","10.5100","6,197,316.0000","3,321,864,000.0000","67,100,032.0000"
"600313.SH","农发种业","2015-09-21","10.8100","11.3000","11.4100","10.6000","10,203,374.0000","3,437,460,000.0000","113,111,566.0000"
"600313.SH","农发种业","2015-09-22","11.2600","11.9900","12.0000","11.2000","12,298,890.0000","3,647,358,000.0000","144,092,999.0000"
"600313.SH","农发种业","2015-09-23","11.6600","11.6400","12.0000","11.4800","7,914,576.0000","3,540,888,000.0000","92,668,494.0000"
"600313.SH","农发种业","2015-09-24","11.5600","11.9800","12.0700","11.5600","7,750,826.0000","3,644,316,000.0000","92,222,993.0000"
"600313.SH","农发种业","2015-09-25","11.9800","11.3900","12.4500","11.3000","7,412,892.0000","3,464,838,000.0000","87,081,195.0000"
"600313.SH","农发种业","2015-09-28","11.3200","11.5000","11.6000","11.0700","3,320,981.0000","4,223,803,352.0000","37,786,510.0000"
"600313.SH","农发种业","2015-09-29","11.2500","11.4600","11.9200","11.0700","7,284,814.0000","4,209,111,862.0800","83,515,565.0000"
"600313.SH","农发种业","2015-09-30","11.4600","11.9300","12.1000","11.3600","9,877,182.0000","4,381,736,868.6400","116,612,463.0000"
"600315.SH","上海家化","2015-09-11","34.9900","34.9300","35.3700","34.5000","3,488,553.0000","23,440,578,527.7300","121,528,814.0000"
"600315.SH","上海家化","2015-09-14","35.1900","33.9600","35.2000","32.1500","11,891,853.0000","22,789,637,755.5600","400,057,600.0000"
"600315.SH","上海家化","2015-09-15","33.5000","32.5300","33.5000","32.4800","5,843,997.0000","21,830,003,421.3300","192,657,090.0000"
"600315.SH","上海家化","2015-09-16","32.8000","34.5500","35.2600","32.5800","6,007,799.0000","23,185,570,802.5500","202,839,380.0000"
"600315.SH","上海家化","2015-09-17","34.1800","33.7100","34.8800","33.5800","5,907,929.0000","22,621,869,515.3100","202,977,432.0000"
"600315.SH","上海家化","2015-09-18","33.7600","33.7300","34.2500","33.3200","3,076,938.0000","22,635,290,974.5300","103,771,638.0000"
"600315.SH","上海家化","2015-09-21","33.3500","34.4600","34.5800","33.2200","4,188,208.0000","23,125,174,236.0600","143,038,174.0000"
