"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"300482.SZ","万孚生物","2015-09-11","70.1000","71.1800","71.7000","69.6100","1,976,215.0000","1,565,960,000.0000","139,754,425.0000"
"300482.SZ","万孚生物","2015-09-14","71.2800","64.0600","71.6000","64.0600","2,477,649.0000","1,409,320,000.0000","166,059,897.0000"
"300482.SZ","万孚生物","2015-09-15","61.8700","63.0200","66.3600","60.8100","2,239,783.0000","1,386,440,000.0000","142,870,162.0000"
"300482.SZ","万孚生物","2015-09-16","63.8000","69.3200","69.3200","63.5000","3,129,482.0000","1,525,040,000.0000","208,398,171.0000"
"300482.SZ","万孚生物","2015-09-17","69.5000","69.2900","74.2000","67.6000","3,736,681.0000","1,524,380,000.0000","263,444,898.0000"
"300482.SZ","万孚生物","2015-09-18","70.1000","71.2300","71.9300","68.0500","2,583,567.0000","1,567,060,000.0000","181,880,843.0000"
"300482.SZ","万孚生物","2015-09-21","70.0000","77.4800","78.1100","69.5000","3,265,411.0000","1,704,560,000.0000","244,067,538.0000"
"300482.SZ","万孚生物","2015-09-22","77.6500","78.3300","80.8000","76.0000","3,649,989.0000","1,723,260,000.0000","285,467,024.0000"
"300482.SZ","万孚生物","2015-09-23","76.4000","78.4000","79.8700","76.0000","3,422,783.0000","1,724,800,000.0000","267,694,596.0000"
"300482.SZ","万孚生物","2015-09-24","79.0000","78.8800","82.3800","76.8000","2,990,306.0000","1,735,360,000.0000","238,709,014.0000"
"300482.SZ","万孚生物","2015-09-25","78.1800","73.7000","78.7800","73.0000","2,809,863.0000","1,621,400,000.0000","211,644,147.0000"
"300482.SZ","万孚生物","2015-09-28","74.1800","81.0700","81.0700","73.8000","3,098,214.0000","1,783,540,000.0000","240,938,960.0000"
"300482.SZ","万孚生物","2015-09-29","79.0000","79.3900","82.3000","77.2100","2,552,488.0000","1,746,580,000.0000","203,503,829.0000"
"300482.SZ","万孚生物","2015-09-30","80.1000","79.5900","81.4900","76.8200","2,247,717.0000","1,750,980,000.0000","178,625,507.0000"
"300483.SZ","沃施股份","2015-09-11","37.9000","38.4300","38.7700","37.5800","761,710.0000","595,665,000.0000","29,185,979.0000"
"300483.SZ","沃施股份","2015-09-14","38.5900","34.5900","38.5900","34.5900","1,059,599.0000","536,145,000.0000","37,985,773.0000"
"300483.SZ","沃施股份","2015-09-15","33.0300","31.6000","34.7500","31.3100","1,239,701.0000","489,800,000.0000","40,937,952.0000"
"300483.SZ","沃施股份","2015-09-16","31.8000","34.7600","34.7600","31.8000","1,331,500.0000","538,780,000.0000","44,559,099.0000"
"300483.SZ","沃施股份","2015-09-17","34.3000","33.5000","35.9000","33.5000","1,329,880.0000","519,250,000.0000","46,258,892.0000"
"300483.SZ","沃施股份","2015-09-18","33.9800","33.7500","34.0000","33.2100","989,455.0000","523,125,000.0000","33,258,010.0000"
"300483.SZ","沃施股份","2015-09-21","33.4500","36.0000","36.2000","33.4000","1,292,755.0000","558,000,000.0000","45,476,672.0000"
"300483.SZ","沃施股份","2015-09-22","36.7100","36.8000","38.7800","36.1300","1,699,386.0000","570,400,000.0000","63,404,933.0000"
"300483.SZ","沃施股份","2015-09-23","36.4200","39.7400","39.9800","36.1100","2,577,299.0000","615,970,000.0000","99,321,014.0000"
"300483.SZ","沃施股份","2015-09-24","39.1000","38.8800","40.7000","38.5300","1,972,209.0000","602,640,000.0000","77,575,491.0000"
"300483.SZ","沃施股份","2015-09-25","38.5000","35.8000","38.8700","35.7800","1,814,728.0000","554,900,000.0000","66,994,066.0000"
"300483.SZ","沃施股份","2015-09-28","35.9400","37.4800","37.4800","35.7000","1,159,064.0000","580,940,000.0000","42,557,421.0000"
"300483.SZ","沃施股份","2015-09-29","36.5600","36.6000","37.0800","35.8000","904,924.0000","567,300,000.0000","32,994,744.0000"
"300483.SZ","沃施股份","2015-09-30","36.6900","38.3800","39.5000","35.9200","1,502,720.0000","594,890,000.0000","56,081,222.0000"
"300485.SZ","赛升药业","2015-09-11","77.0000","79.1600","79.9900","77.0000","2,054,733.0000","2,374,800,000.0000","161,583,567.0000"
"300485.SZ","赛升药业","2015-09-14","79.0000","71.2400","79.3000","71.2400","2,745,111.0000","2,137,200,000.0000","203,830,983.0000"
"300485.SZ","赛升药业","2015-09-15","70.5000","69.6600","72.7600","68.6100","1,920,259.0000","2,089,800,000.0000","135,452,053.0000"
"300485.SZ","赛升药业","2015-09-16","70.5700","76.5000","76.6300","70.5700","2,800,030.0000","2,295,000,000.0000","204,214,114.0000"
"300485.SZ","赛升药业","2015-09-17","75.5000","73.8000","78.2000","73.6000","2,945,957.0000","2,214,000,000.0000","223,515,699.0000"
"300485.SZ","赛升药业","2015-09-18","74.5000","74.0100","74.7000","72.3200","1,656,023.0000","2,220,300,000.0000","121,980,725.0000"
"300485.SZ","赛升药业","2015-09-21","72.8800","79.6000","79.9900","72.0100","3,577,277.0000","2,388,000,000.0000","275,788,944.0000"
"300485.SZ","赛升药业","2015-09-22","79.5000","79.2500","80.8800","78.0000","2,842,383.0000","2,377,500,000.0000","225,532,383.0000"
"300485.SZ","赛升药业","2015-09-23","77.8000","78.8000","80.5800","77.2700","2,366,274.0000","2,364,000,000.0000","187,247,492.0000"
"300485.SZ","赛升药业","2015-09-24","79.2000","79.0800","80.8000","78.0000","2,266,912.0000","2,372,400,000.0000","180,320,200.0000"
"300485.SZ","赛升药业","2015-09-25","78.5100","73.7500","78.8000","73.2700","2,818,674.0000","2,212,500,000.0000","213,088,527.0000"
"300485.SZ","赛升药业","2015-09-28","73.9900","77.1200","77.5000","73.0100","1,992,995.0000","2,313,600,000.0000","150,754,362.0000"
"300485.SZ","赛升药业","2015-09-29","75.3500","75.3000","76.5200","74.3600","1,722,537.0000","2,259,000,000.0000","129,871,716.0000"
"300485.SZ","赛升药业","2015-09-30","75.5800","75.0800","76.1800","74.6600","1,372,727.0000","2,252,400,000.0000","103,503,457.0000"
"300486.SZ","东杰智能","2015-09-11","30.8000","32.9000","35.0200","30.0100","13,930,617.0000","1,142,288,000.0000","446,153,840.0000"
"300486.SZ","东杰智能","2015-09-14","31.9000","29.6100","33.2000","29.6100","8,927,576.0000","1,028,059,200.0000","280,029,744.0000"
"300486.SZ","东杰智能","2015-09-15","27.4100","28.6100","30.4200","26.8000","9,087,613.0000","993,339,200.0000","256,953,819.0000"
"300486.SZ","东杰智能","2015-09-16","29.1000","31.4700","31.4700","29.1000","11,403,838.0000","1,092,638,400.0000","354,010,736.0000"
"300486.SZ","东杰智能","2015-09-17","33.0000","30.8700","33.8000","30.8000","13,635,118.0000","1,071,806,400.0000","446,376,912.0000"
"300486.SZ","东杰智能","2015-09-18","31.0100","31.8500","32.2900","30.9100","7,335,717.0000","1,105,832,000.0000","231,463,204.0000"
"300486.SZ","东杰智能","2015-09-21","31.0000","35.0400","35.0400","30.6000","7,119,241.0000","1,216,588,800.0000","238,859,619.0000"
"300486.SZ","东杰智能","2015-09-22","37.4800","35.6200","38.2600","35.5000","13,250,406.0000","1,236,726,400.0000","486,603,744.0000"
"300486.SZ","东杰智能","2015-09-23","34.1000","36.4300","38.5000","34.0700","10,479,813.0000","1,264,849,600.0000","381,294,192.0000"
"300486.SZ","东杰智能","2015-09-24","36.2000","37.6400","39.0000","36.2000","9,391,867.0000","1,306,860,800.0000","353,573,232.0000"
"300486.SZ","东杰智能","2015-09-25","36.9900","33.8800","37.4900","33.8800","8,262,515.0000","1,176,313,600.0000","291,609,776.0000"
"300486.SZ","东杰智能","2015-09-28","34.0500","36.5500","36.8500","34.0100","6,460,580.0000","1,269,016,000.0000","228,476,115.0000"
"300486.SZ","东杰智能","2015-09-29","35.2700","36.7000","37.7000","35.2000","7,649,366.0000","1,274,224,000.0000","281,493,376.0000"
"300486.SZ","东杰智能","2015-09-30","37.0000","35.1800","37.3500","34.1400","5,407,971.0000","1,221,449,600.0000","192,109,144.0000"
"300487.SZ","蓝晓科技","2015-09-11","38.2300","39.3000","39.9800","38.0800","2,075,921.0000","786,000,000.0000","80,957,614.0000"
"300487.SZ","蓝晓科技","2015-09-14","39.0500","35.3700","39.5000","35.3700","2,051,449.0000","707,400,000.0000","75,940,303.0000"
"300487.SZ","蓝晓科技","2015-09-15","33.5000","32.0300","34.9000","31.9000","2,106,435.0000","640,600,000.0000","70,209,409.0000"
"300487.SZ","蓝晓科技","2015-09-16","33.0200","35.2300","35.2300","32.4000","3,063,223.0000","704,600,000.0000","105,846,817.0000"
"300487.SZ","蓝晓科技","2015-09-17","36.0000","35.0000","37.2500","35.0000","3,277,646.0000","700,000,000.0000","118,840,899.0000"
"300487.SZ","蓝晓科技","2015-09-18","35.5000","36.8800","37.2000","35.0100","2,476,337.0000","737,600,000.0000","89,716,824.0000"
"300487.SZ","蓝晓科技","2015-09-21","36.5700","39.4600","39.8000","35.5100","3,005,007.0000","789,200,000.0000","115,075,764.0000"
"300487.SZ","蓝晓科技","2015-09-22","40.0000","39.1400","40.4600","38.0100","3,606,018.0000","782,800,000.0000","141,849,371.0000"
"300487.SZ","蓝晓科技","2015-09-23","38.4000","39.9600","41.2900","38.2100","3,549,298.0000","799,200,000.0000","142,261,443.0000"
"300487.SZ","蓝晓科技","2015-09-24","39.9600","39.7800","41.3800","39.0000","2,862,916.0000","795,600,000.0000","115,047,172.0000"
"300487.SZ","蓝晓科技","2015-09-25","39.0000","37.4100","39.4600","36.8800","2,259,900.0000","748,200,000.0000","86,104,685.0000"
"300487.SZ","蓝晓科技","2015-09-28","37.9500","39.9000","39.9500","37.4400","2,086,348.0000","798,000,000.0000","81,494,938.0000"
"300487.SZ","蓝晓科技","2015-09-29","39.0900","38.6000","39.4400","38.2000","1,717,550.0000","772,000,000.0000","66,704,540.0000"
"300487.SZ","蓝晓科技","2015-09-30","38.5700","38.6500","39.1600","37.6000","1,411,346.0000","773,000,000.0000","54,506,719.0000"
"300488.SZ","恒锋工具","2015-09-11","47.0000","48.0800","48.3700","47.0000","1,023,000.0000","601,480,800.0000","48,943,192.0000"
"300488.SZ","恒锋工具","2015-09-14","48.2900","43.2700","48.3000","43.2700","1,259,290.0000","541,307,700.0000","56,903,043.0000"
"300488.SZ","恒锋工具","2015-09-15","40.6000","39.8600","42.8000","39.4600","1,227,157.0000","498,648,600.0000","50,306,262.0000"
"300488.SZ","恒锋工具","2015-09-16","40.9900","43.8500","43.8500","40.1600","1,727,939.0000","548,563,500.0000","72,839,594.0000"
"300488.SZ","恒锋工具","2015-09-17","43.3600","43.1800","46.5800","42.6900","1,950,604.0000","540,181,800.0000","86,898,564.0000"
"300488.SZ","恒锋工具","2015-09-18","43.8600","43.8100","44.4000","42.6000","1,047,616.0000","548,063,100.0000","45,525,379.0000"
"300488.SZ","恒锋工具","2015-09-21","43.4000","47.7900","48.0800","42.8300","1,765,691.0000","597,852,900.0000","81,517,962.0000"
"300488.SZ","恒锋工具","2015-09-22","48.0000","47.9600","49.8600","47.6800","2,009,093.0000","599,979,600.0000","97,551,742.0000"
"300488.SZ","恒锋工具","2015-09-23","46.8800","49.9100","50.9900","46.6900","2,556,087.0000","624,374,100.0000","127,185,561.0000"
"300488.SZ","恒锋工具","2015-09-24","49.9100","49.3700","50.8600","48.6000","1,827,150.0000","617,618,700.0000","91,000,147.0000"
"300488.SZ","恒锋工具","2015-09-25","49.1600","46.8600","50.6800","45.6300","1,582,395.0000","586,218,600.0000","76,114,321.0000"
"300488.SZ","恒锋工具","2015-09-28","46.9900","50.4500","50.6700","46.3000","1,533,473.0000","631,129,500.0000","75,193,494.0000"
"300488.SZ","恒锋工具","2015-09-29","49.0000","49.6700","49.7700","48.4800","1,217,151.0000","621,371,700.0000","59,894,826.0000"
"300488.SZ","恒锋工具","2015-09-30","49.5000","49.2600","50.4900","48.8100","992,041.0000","616,242,600.0000","49,224,985.0000"
"300489.SZ","中飞股份","2015-09-11","58.5900","59.5800","60.4000","57.5800","1,721,795.0000","676,233,000.0000","101,554,074.0000"
"300489.SZ","中飞股份","2015-09-14","59.0800","53.6200","59.4500","53.6200","1,294,220.0000","608,587,000.0000","72,967,860.0000"
"300489.SZ","中飞股份","2015-09-15","50.9000","48.7900","52.1900","48.2800","1,470,639.0000","553,766,500.0000","73,483,653.0000"
"300489.SZ","中飞股份","2015-09-16","49.9400","53.6700","53.6700","49.7600","1,680,492.0000","609,154,500.0000","87,300,265.0000"
"300489.SZ","中飞股份","2015-09-17","53.8600","52.7200","56.3000","52.0700","1,999,706.0000","598,372,000.0000","108,286,796.0000"
"300489.SZ","中飞股份","2015-09-18","52.7800","53.6000","53.9700","52.0000","1,135,992.0000","608,360,000.0000","60,383,226.0000"
"300489.SZ","中飞股份","2015-09-21","55.8000","58.9600","58.9600","54.0100","734,849.0000","669,196,000.0000","42,424,085.0000"
"300489.SZ","中飞股份","2015-09-22","64.8600","64.8600","64.8600","64.8600","196,269.0000","736,161,000.0000","12,730,007.0000"
"300489.SZ","中飞股份","2015-09-23","71.3500","71.3500","71.3500","69.0000","2,995,641.0000","809,822,500.0000","213,482,431.0000"
"300489.SZ","中飞股份","2015-09-24","72.5100","69.7100","75.6300","68.6500","4,961,174.0000","791,208,500.0000","355,708,144.0000"
"300489.SZ","中飞股份","2015-09-25","68.5000","65.0000","72.0000","63.5500","3,264,704.0000","737,750,000.0000","222,068,208.0000"
"300489.SZ","中飞股份","2015-09-28","65.5600","71.5000","71.5000","64.8800","3,789,903.0000","811,525,000.0000","264,492,634.0000"
"300489.SZ","中飞股份","2015-09-29","69.0000","67.6600","70.5000","66.1100","2,673,800.0000","767,941,000.0000","182,945,616.0000"
"300489.SZ","中飞股份","2015-09-30","68.1200","70.2700","74.4300","68.1200","2,933,569.0000","797,564,500.0000","209,653,338.0000"
"600000.SH","浦发银行","2015-09-11","15.3500","15.5600","15.6600","15.3000","288,708,560.0000","232,198,412,173.9200","4,469,128,192.0000"
"600000.SH","浦发银行","2015-09-14","15.5000","15.9300","15.9500","14.9300","183,936,607.0000","237,719,839,712.7600","2,836,987,904.0000"
"600000.SH","浦发银行","2015-09-15","15.5300","15.4600","15.5500","15.2400","107,602,458.0000","230,706,134,460.7200","1,658,227,600.0000"
"600000.SH","浦发银行","2015-09-16","15.3100","15.4300","15.8000","15.0300","74,128,982.0000","230,258,451,146.7600","1,135,218,752.0000"
"600000.SH","浦发银行","2015-09-17","15.3400","15.1100","15.4600","15.1000","50,848,655.0000","225,483,162,464.5200","778,452,704.0000"
"600000.SH","浦发银行","2015-09-18","15.1600","15.0300","15.2900","15.0200","40,899,248.0000","224,289,340,293.9600","619,915,760.0000"
"600000.SH","浦发银行","2015-09-21","14.9600","14.9700","15.0800","14.8400","40,488,316.0000","223,393,973,666.0400","604,842,000.0000"
"600000.SH","浦发银行","2015-09-22","14.9700","15.0500","15.2300","14.9700","38,673,835.0000","224,587,795,836.6000","584,644,944.0000"
"600000.SH","浦发银行","2015-09-23","14.9100","14.9500","15.0000","14.6800","54,580,634.0000","223,095,518,123.4000","810,914,240.0000"
"600000.SH","浦发银行","2015-09-24","14.9500","15.2700","15.3000","14.8700","78,862,572.0000","227,870,806,805.6400","1,192,962,816.0000"
"600000.SH","浦发银行","2015-09-25","15.1500","15.5900","15.6200","15.1500","136,070,895.0000","232,646,095,487.8800","2,096,781,872.0000"
"600000.SH","浦发银行","2015-09-28","15.5500","15.9200","15.9600","15.4200","91,425,816.0000","237,570,611,941.4400","1,436,492,496.0000"
"600000.SH","浦发银行","2015-09-29","15.7900","15.9700","15.9900","15.6700","114,190,253.0000","238,316,750,798.0400","1,807,681,568.0000"
"600000.SH","浦发银行","2015-09-30","15.9500","16.6300","16.6500","15.9000","211,038,123.0000","248,165,783,705.1600","3,452,096,800.0000"
"600004.SH","白云机场","2015-09-11","12.6000","12.5100","12.6400","12.3000","5,988,433.0000","14,386,500,000.0000","74,782,311.0000"
"600004.SH","白云机场","2015-09-14","12.5500","11.9200","12.6100","11.8200","7,513,954.0000","13,708,000,000.0000","91,395,821.0000"
"600004.SH","白云机场","2015-09-15","11.7100","11.5700","12.0600","11.5200","5,093,927.0000","13,305,500,000.0000","59,997,002.0000"
"600004.SH","白云机场","2015-09-16","11.5900","12.4300","12.5700","11.5000","10,229,153.0000","14,294,500,000.0000","122,598,767.0000"
"600004.SH","白云机场","2015-09-17","12.2000","11.9400","12.4200","11.9200","10,322,196.0000","13,731,000,000.0000","125,640,363.0000"
"600004.SH","白云机场","2015-09-18","11.9900","11.9200","12.0800","11.8000","4,548,390.0000","13,708,000,000.0000","54,221,679.0000"
"600004.SH","白云机场","2015-09-21","11.8300","12.1400","12.1600","11.7000","5,744,354.0000","13,961,000,000.0000","68,840,090.0000"
"600004.SH","白云机场","2015-09-22","12.1800","12.3000","12.5000","12.1000","8,587,184.0000","14,145,000,000.0000","105,222,489.0000"
"600004.SH","白云机场","2015-09-23","12.1300","11.9800","12.2100","11.9500","4,821,692.0000","13,777,000,000.0000","58,222,958.0000"
"600004.SH","白云机场","2015-09-24","11.9900","12.1000","12.1700","11.9900","4,412,736.0000","13,915,000,000.0000","53,393,105.0000"
"600004.SH","白云机场","2015-09-25","12.1000","12.0000","12.2100","11.9000","4,473,329.0000","13,800,000,000.0000","53,940,088.0000"
"600004.SH","白云机场","2015-09-28","12.0700","12.1300","12.1600","11.9200","2,651,477.0000","13,949,500,000.0000","31,982,568.0000"
"600004.SH","白云机场","2015-09-29","12.0200","11.9000","12.0900","11.8600","3,661,195.0000","13,685,000,000.0000","43,730,346.0000"
"600004.SH","白云机场","2015-09-30","11.9600","11.9900","12.0800","11.9000","2,567,200.0000","13,788,500,000.0000","30,757,396.0000"
"600005.SH","武钢股份","2015-09-11","4.3800","4.3900","4.4600","4.3000","71,745,829.0000","44,311,693,422.9700","313,855,312.0000"
"600005.SH","武钢股份","2015-09-14","4.5000","4.4000","4.5500","4.0600","148,621,492.0000","44,412,631,221.2000","644,392,912.0000"
"600005.SH","武钢股份","2015-09-15","4.2000","4.0000","4.3000","3.9900","88,168,073.0000","40,375,119,292.0000","361,710,256.0000"
"600005.SH","武钢股份","2015-09-16","4.0400","4.2800","4.3800","3.8800","118,395,131.0000","43,201,377,642.4400","486,403,776.0000"
"600005.SH","武钢股份","2015-09-17","4.2000","4.0900","4.3500","4.0600","117,117,427.0000","41,283,559,476.0700","492,763,792.0000"
"600005.SH","武钢股份","2015-09-18","4.1100","4.0700","4.1400","4.0100","65,002,117.0000","41,081,683,879.6100","264,907,449.0000"
"600005.SH","武钢股份","2015-09-21","4.0200","4.1200","4.1400","3.9900","56,847,683.0000","41,586,372,870.7600","231,996,003.0000"
